                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
NON   NON SAB 11 NON 00 NON 00 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   WRC SAB 11 NON 00 NON 00 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   WRC SAB 11 NON 00 NON 00 NON 00 NON 00   WRC NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 NON 00 NON 00 NON 00   WRC NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 NON 00 NON 00 NON 00   WRC NON 00 NON 00 NON 00 NON 00 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 NON 00 NON 00 NON 00   WRC NON 00 NON 00 NON 00 SAB 13 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 NON 00 NON 00 NON 00   WRC NON 00 NON 00 SAB 11 SAB 13 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 NON 00 NON 00 NON 00   WRC NON 00 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 SAB 19 NON 00 NON 00   WRC NON 00 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 SAB 19 SAB 14 NON 00   WRC NON 00 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 SAB 19 SAB 14 SAB 12   WRC NON 00 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 NON 00 SAB 19 SAB 14 SAB 12   WRC SAB 13 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - -- --
SOM   WRC SAB 11 SAB 20 SAB 19 SAB 14 SAB 12   WRC SAB 13 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - -- --
Game 1 
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG   WRC SAB 11 SAB 20 SAB 19 SAB 14 SAB 12   WRC SAB 13 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - 01 --
TSR   WRC SAB 11 SAB 20 SAB 19 SAB 14 SAB 12   WRC SAB 13 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - 01 --
TSR   WRC SAB 11 SAB 20 SAB 19 SAB 14 SAB 12   AST SAB 13 SAB 16 SAB 11 SAB 13 SAB 15 - - - . - - - 01 --
